"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20","site","air.temp","daily.min.air","daily.max.air","daily.air.range","daily.med.air"
"1",2018-06-14,30,35.6,NA,NA,3,6.601,3.9375,82,77.6666666666667,49.2477866886313,49.7777777777778,24.8882440829904,250,557075.888888889,21802,22.55,20.45,26,5.45,22.5,22.5,7.8,7.95,0.2,7.825,17.475,16.5,19.05,2.7,17.5,0,0,0,0,0,0,0,21,0,31,0,0,0,"pc.cc",13.091975,11.6894,17.83309,5.136245,12.52106
"2",2018-07-17,90.2,29.9,3.2,87,1,1.4398,0.487,8.4,24.9,9.67748917748917,13.8888888888889,8.0279341369392,226.666666666667,67533.2222222221,6641.33333333333,25.2,23.5,27.9,4.55,25.3,7.8,7.8,7.9,0.1,7.8,19.2,18.2,20.7,2.6,19.3,0,0,0,0,0,0,0,11,3,33,3,3,0,"pc.cc",14.263465,13.089415,18.24118,4.943295,13.87399
"3",2018-08-07,163.5,53.4,15.4,148.1,1,2.1754,0.3992,7.8,28.9,13.3245725553025,7.77777777777777,9.16204209893318,108.666666666667,1726.66666666666,802,25.8,24.65,28.4,3.65,25.6,7.9,7.8,8.1,0.299999999999999,7.9,20.7,19.6,22.05,2.4,20.6,0,0,0,0,0,0,0,2,0,21,0,2,0,"pc.cc",14.682765,12.65081,19.43701,5.690605,14.10463
"4",2018-09-11,120.8,58.2,4.3,116.5,1,3.3098,0.4294,10.6,47.1,18.5738325122781,7.77777777777777,11.1251634984535,250,12830,2630,26.2,24.95,28.45,3.3,26.15,7.9,7.9,7.9,0.0999999999999996,7.9,19.1,18.45,20.3,1.75,19.175,0,0,0,0,0,0,0,0,2,35,2,2,0,"pc.cc",14.9456525,13.17453,17.93985,4.427035,15.17951
"5",2018-12-05,35.1,55,13.5,21.6,3,3.3005,1.2959,45.2,58.9,33.6364714747263,42.2222222222222,23.0614667846687,346.666666666667,278007.888888889,12372.6666666667,26,25.1,28.1,3.1,26.025,7.9,7.9,8,0.0999999999999996,7.9,17.3,16.9,17.8,1.1,17.2,0,0,0,0,0,0,0,2,10,85,10,10,0,"pc.cc",15.185185,12.93628,18.63577,5.298895,15.0486175
"6",2019-01-30,25.2,49.3,8.8,16.4,3,3.2846,0.6915,23.1,56.4,19.8561400534955,26.5555555555555,12.0422754261229,312,159910.666666667,17069.3333333333,22.9,21.575,25.775,4.825,22.9875,7.85,7.85,7.9,0,7.9,11.5,10.8,11.975,1,11.5375,0,2,11,0,0,0,8,24,9,56,9,9,0,"pc.cc",11.3383625,9.707526,13.4317225,3.69399575,11.416595
"7",2019-02-20,28.4,49.1,15,13.4,2.5,2.30755555555556,0.160444444444444,8.22222222222222,48.375,9.44711566904561,35.6666666666667,5.05535040694236,338,146512.777777778,5751.33333333333,12.825,10,19.8,10.35,12.1,7.8,7.7,7.8,0.0499999999999998,7.8,11.2,10.5,11.65,1.2,11.1,1,10,20,0,0,3,12,19,1,21,1,1,0,"pc.cc",9.3306485,7.3911075,11.16026,3.8934325,8.693208
"8",2019-03-15,21.7,38.2,13.2,8.5,2,3.2326,0.1099,5.8,75.3,5.43926740101599,18.1111111111111,2.28019209808714,186.666666666667,29954.6666666667,3894.66666666667,5.075,3.9,11.5,6.4,5.075,7.85,7.8,7.9,0.100000000000001,7.875,11.2,10.9,11.7,1,11.2,18,23,23,2,11,21,2,15,2,23,2,2,0,"pc.cc",10.33125,8.684929,11.79727,3.008063,9.575718
"9",2019-04-11,19.4,37.2,11.4,8,2,3.6192,0.1755,6.8,96.2,6.81932697769802,14.6666666666667,4.05590927857383,295.333333333333,26138,4220.66666666667,7.325,6,15,8.75,7.25,7.9,7.9,8,0.0999999999999996,7.9,14.1,13.65,14.95,1,14.05,5,27,27,0,1,13,9,25,1,20,1,1,0,"pc.cc",12.750935,11.34539,15.46143,4.59354,12.482375
"10",2019-05-09,12.3,40.5,8.9,3.4,5,4.5223,1.4546,57.5,92.7,33.1041596958124,0,21.6652968514317,236.666666666667,0,10352,9.6,7.675,17.05,9.1,8.75,8,7.9,8.025,0.15,8,16,15.2,17.4,2.275,16.2,0,24,28,0,0,6,10,27,0,23,0,0,0,"pc.cc",12.249755,11.0811125,15.5596775,4.860977,11.9272825
"11",2019-06-09,6.1,25.7,2.9,3.2,5,4.3251,4.678,99.3,57.6,59.1684416615552,2.66666666666667,47.3852789130402,248,21804.6666666667,17441.3333333333,13.65,11.5,20.15,8.85,13.5,7.8,7.7,7.8,0.0999999999999996,7.8,16.7,15.85,18.4,2.5,16.925,0,10,31,0,0,0,10,31,0,31,0,0,0,"pc.cc",12.496375,11.37671,15.47912,4.047735,12.498725
"12",2019-07-21,30.6,9.8,1.7,28.9,1,1.2655,0.5457,8.2,21.8,12.3464737876503,3.77777777777779,10.4125220579748,173.333333333333,17371.7777777778,5105.33333333333,20.3,17.25,24.425,7.775,19.375,7.7,7.7,7.7,0.0999999999999996,7.7,19,18.025,21.2,3,19.0375,0,1,18,0,0,0,6,41,0,42,0,0,0,"pc.cc",14.59981,12.7196275,17.683865,5.0236375,14.21155875
"13",2019-08-04,17.3,7.7,4.4,12.9,1,1.0108,0.1,2.8,19.2,4.74358974358975,0,2.4091820386987,95,0,1393,23.6,20.325,26.9,5.9,23.2375,8.1,8,8.1,0.0999999999999996,8.1,19.85,18.825,21.275,2.425,19.925,0,0,0,0,0,0,0,11,0,5,0,0,0,"pc.cc",14.6284275,13.3934675,20.1390175,6.4622375,14.43000125
"14",2019-09-12,15.1,16.5,3.1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.45,21.7,26.75,4.95,23.3,8,7.9,8,0.0999999999999996,7.9,20.8,19.7,21.8,2.2,20.775,0,0,0,0,0,0,0,18,0,23,0,0,0,"pc.cc",17.207965,14.9898,21.361295,6.204665,17.10099
"15",2018-06-14,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,241.333333333333,224814.666666667,8412,27.16,24.29,30.375,6.035,27.34,7.84,7.77,7.87,0.0950000000000006,7.845,15.46,13.73,16.885,2.875,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",13.091975,11.6894,17.83309,5.136245,12.52106
"16",2018-07-17,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,270,390164.111111111,12640.6666666667,28.755,26.05,31.08,4.965,28.875,7.85,7.82,7.88,0.0600000000000005,7.84,17.03,15.25,18.09,3.15,16.835,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",14.263465,13.089415,18.24118,4.943295,13.87399
"17",2018-08-07,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,206.666666666667,40890.0000000001,5752,29.52,27.18,31.62,4.4,29.52,7.89,7.85,7.91,0.0599999999999996,7.88,18.4375,16.74,19.285,2.49,18.47,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",14.682765,12.65081,19.43701,5.690605,14.10463
"18",2018-09-11,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,154.666666666667,11622.8888888889,2372.66666666667,28.96,27.24,31.185,3.835,29.155,7.82,7.79,7.85,0.0599999999999996,7.815,17.56,16.15,18.3,2.2,17.665,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",14.9456525,13.17453,17.93985,4.427035,15.17951
"19",2018-10-10,39.6,36.4,3,36.6,1,2.4681,2.8906,50.3,35.1,59.2180483118082,50.7777777777778,50.787789538915,406,1077686.66666667,28538,29.015,27.95,31.445,3.4,28.975,7.78,7.77,7.8,0.0350000000000001,7.79,17.645,16.15,18.16,1.975,17.65,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",16.498725,13.60531,19.904685,5.22628,16.0435075
"20",2018-12-05,18.9,27,5.2,13.7,2.5,1.2685,0.8268,26.6,21.8,43.3237831624044,44.7777777777778,32.4183747533188,356.666666666667,342350.333333333,16447.3333333333,29.495,27.875,31.5825,3.7,29.45375,7.82,7.8,7.835,0.0300000000000002,7.8125,15.47,15.125,16.69,1.1525,16.00875,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",14.6771275,12.52949,16.826925,5.315775,14.61090125
"21",2019-01-30,21.6,28.3,12.1,9.5,3,1.3712,0.5188,11.1,24.4,31.7066224729917,25.2222222222222,22.3551608172246,412,90319.5555555554,6624.66666666667,27.27,24.295,30.75,5.675,27.215,7.84,7.82,7.88,0.0499999999999998,7.85,12.115,11.61,12.63,0.935,12.035,10,10,10,10,10,10,10,10,10,10,10,10,10,"nd.eos",11.3383625,9.707526,13.4317225,3.69399575,11.416595
"22",2019-02-20,18.9,28.9,2.7,16.2,2,2.5303,0.1787,5.8,46.9,16.6411169076892,17,4.75867321259775,163.666666666667,33894.1111111112,3071.33333333333,20.035,14.815,27.84,11.26,18.3025,7.88,7.84,7.92,0.0800000000000001,7.87,11.7875,11.045,12.55,1.005,11.6825,0,3,3,3,3,3,3,3,3,3,3,3,3,"nd.eos",9.3306485,7.3911075,11.16026,3.8934325,8.693208
"23",2019-03-15,16.9,28.3,4.6,12.3,3,2.2784,0.5226,21.9,50.7,25.4320695646647,17,14.9970135803785,308,59873.7777777778,7044,9.6,5.64,19.99,13.485,10.2175,7.95,7.845,8.03,0.16,7.95,11.36,11.01,11.855,0.640000000000001,11.22,6,22,22,22,22,22,22,22,22,22,22,22,22,"nd.eos",10.33125,8.684929,11.79727,3.008063,9.575718
"24",2019-04-11,23,22.1,7.9,15.1,3,2.0753,0.532,12.4,42.8,16.7804543594634,31.8888888888889,14.7685235421156,323.333333333333,109256,9482.66666666667,12.605,8.275,25.93,16.36,13.0525,8.01,7.94,8.095,0.135000000000001,8.02,13.91,13.47,14.25,0.945,13.865,0,20,20,20,20,20,20,20,20,20,20,20,20,"nd.eos",12.750935,11.34539,15.46143,4.59354,12.482375
"25",2019-05-09,38.7,35.7,8.9,29.8,2,2.1057,1.2014,30.7,31.5,41.1868141683967,3.44444444444444,27.821886947093,341.333333333333,61150,19322.6666666667,15.63,10.9625,27.705,15.33,15.46375,8.03,7.955,8.08,0.1,8.02,15.17,12.785,16.1275,3.2925,15.2425,0,9,9,9,9,9,9,9,9,9,9,9,9,"nd.eos",12.249755,11.0811125,15.5596775,4.860977,11.9272825
"26",2019-06-09,19.3,21.2,5.2,14.1,3,2.6942,2.9833,64.6,31.3,59.7270538464109,11,45.581258642884,226.666666666667,90213.3333333333,20745.3333333333,19.42,13.925,27.905,13.335,19.69,7.92,7.88,7.96,0.0599999999999996,7.92,15.74,14.21,16.905,3.035,15.735,0,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos",12.496375,11.37671,15.47912,4.047735,12.498725
"27",2019-07-21,20.8,15,2.6,18.2,3,1.6024,2.0675,31.5,13.6,62.1812939888456,25.3333333333333,45.0250637683385,297.333333333333,30833,2492,25.2975,21.01,29.4675,8.215,24.8775,7.825,7.79,7.86,0.100000000000001,7.81,17.4125,15.0775,18.6225,3.4575,17.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",14.59981,12.7196275,17.683865,5.0236375,14.21155875
"28",2019-08-04,19,17.4,2.7,16.3,2,1.8058,1.6752,31.2,16.6,62.9435214882378,14,43.6615832008545,258,73592.8888888888,10223.3333333333,25.6,22.375,28.065,5.785,26.1625,7.52,7.48,7.48,7.48,7.48,18.03,16.22,16.22,16.22,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",14.6284275,13.3934675,20.1390175,6.4622375,14.43000125
"29",2019-09-12,17.8,17,1.9,15.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.065,24.47,30.645,6.08,27.285,7.84,7.8025,7.8025,7.8025,7.8025,19.07,16.945,16.945,16.945,16.945,0,0,0,0,0,0,0,0,0,0,0,0,0,"nd.eos",17.207965,14.9898,21.361295,6.204665,6.204665
"30",2018-06-15,34.3,29.8,NA,NA,2,2.2964,0.6285,24.125,53,21.1995074852218,12.1111111111111,12.782955507118,193.666666666667,62798.7777777777,10240.6666666667,29.1,28.725,30,1.2,29.05,8,7.9,8.3,0.4,8.025,16.725,14.4,18.9,4.25,16.65,7,7,7,7,7,7,7,7,0,28,0,7,0,"by.rb",12.4,NA,NA,NA,NA
"31",2018-07-16,128.2,52.7,10.9,117.3,2,2.5721,0.4581,14.9,64.3,12.955427339889,4.66666666666668,8.97562110625184,200,13815.1111111111,6976,31.1,30.5,31.5,0.699999999999999,30.975,7.9,7.8,8,0.15,7.9,17.5,16.2,19.3,3.35,17.6,10,10,10,10,10,10,10,10,0,30,0,0,0,"by.rb",13.4,NA,NA,NA,NA
"32",2018-08-06,119.9,38.4,12.9,107,4,3.4752,1.0841,18.3,74.4,17.5410929133971,8.44444444444442,17.1001838856863,282,26579.111111111,5470.66666666667,31,30.8,31.2,0.349999999999998,31,7.9,7.9,8,0.100000000000001,7.9,19.2,17.9,19.9,1.75,19.2,0,0,0,0,0,0,0,0,0,21,0,0,0,"by.rb",13.4,NA,NA,NA,NA
"33",2018-09-10,102.4,52.4,4.8,97.6,1,4.2065,0.356333333333333,6.6,63.9,7.52654480595657,11.2222222222222,5.25886682579841,179.333333333333,23930.2222222222,3139.33333333333,31.8,31.7,31.9,0.349999999999998,31.8,7.9,7.7,8,0.2,7.9,18.2,17.15,19.6,2.075,18.2625,7,7,7,7,7,7,7,7,0,32,0,2,0,"by.rb",13.9,NA,NA,NA,NA
"34",2018-10-09,49.9,47.5,8.9,41,1,9.2224,2.9664,73.9,152.2,29.5443404818578,23.2222222222222,23.5044667643068,291.333333333333,386300.888888889,24840,31.7,31.5,31.9,0.300000000000001,31.7,7.9,7.8,8,0.100000000000001,7.9,18.15,17.4,19.3,1.8,18.35,0,0,0,0,0,0,0,0,0,29,0,0,0,"by.rb",14.625,NA,NA,NA,NA
"35",2018-11-06,33.2,61.5,10.2,23,2,7.337,3.521,78.8,91.4,43.8850524515228,25.7777777777778,29.0074512390104,367.333333333333,382297.777777778,28466.6666666667,31.6,31.45,31.7,0.199999999999999,31.575,7.9,7.85,8,0.100000000000001,7.9,16.8,16.3,17.5,1.125,16.875,0,0,0,0,0,0,0,0,0,28,0,0,0,"by.rb",14.5,NA,NA,NA,NA
"36",2018-12-04,26.4,53.5,8.1,18.3,2,3.684,0.8919,33,55.5,29.5146615752001,47,14.6673269941759,345.333333333333,311427.777777778,13362.6666666667,31.35,31.25,31.55,0.400000000000002,31.375,7.9,7.8,8,0.15,7.9,14.6,12.95,13.5,0.525,13.175,0,0,0,0,0,0,0,0,2,28,2,3,0,"by.rb",13.65,NA,NA,NA,NA
"37",2019-01-31,19.6,42.3,4,15.6,2,2.893,0.1291,3.9,58.3,4.48466632298315,55.111111111111,2.56926152815183,167.333333333333,60958.4444444443,1490.66666666667,29.7,29.5,30.05,0.899999999999999,29.7,7.9,7.85,7.9,0.0999999999999996,7.9,12.15,11.825,12.425,0.55,12.1875,0,0,0,0,0,0,0,0,5,58,5,5,0,"by.rb",11.9,NA,NA,NA,NA
"38",2019-02-21,17.4,39.1,7.2,10.2,2,3.3092,0.1633,6.3,68,5.25358671029449,28.1111111111111,2.45863693431041,244.666666666667,82913.3333333333,5530,23.025,21.9,24,1.8,23.5,7.9,7.9,8,0.0749999999999997,7.9,11.7,11.4,11.9,0.6,11.7,0,0,0,0,0,0,0,1,3,20,3,3,0,"by.rb",9.7,NA,NA,NA,NA
"39",2019-03-14,18.1,44.1,10.3,7.8,2,4.0094,0.2845,9.3,69.6,9.73509542447726,29.2222222222222,5.07044378040752,340,100561.888888889,8235.33333333333,17.15,16.2,18.2,1.6,16.95,8,8,8,0,8,11.8,11.7,12.05,0.4,11.85,0,0,6,0,0,2,0,0,2,11,2,2,0,"by.rb",10.7,NA,NA,NA,NA
"40",2019-04-09,17,49.1,7.9,9.1,2,5.9182,0.3883,11.6,88.2,9.76056495418357,23.3333333333333,5.50368015624486,302.333333333333,48415,6584.33333333333,19.2,18.5,20,1.45,19.1625,8.1,8,8.275,0.25,8.1,14.225,13.75,14.9,0.799999999999999,14.15,0,0,3,0,0,2,0,1,0,7,0,1,0,"by.rb",12.9,NA,NA,NA,NA
"41",2019-05-08,44.2,43.2,6.2,38,2.5,5.2387,0.9579,37.3,102.5,17.9204023733361,1.77777777777778,10.3509385347999,357.333333333333,8695.33333333333,9808,21.3,20.7,21.95,1.95,21.25,8.2,7.9,8.4,0.5,8.2,15.35,14.5,16.9,2.3,15.5,0,0,0,0,0,0,0,0,0,16,0,14,0,"by.rb",11.75,NA,NA,NA,NA
"42",2019-06-08,10.5,23.9,3.4,7.1,2.5,7.6804,2.0539,64.2,139.5,19.7225076969206,9.11111111111112,12.4524501527057,343,219347.333333334,42421.6666666667,24.6,24,26.2,2.2,24.5,7.9,7.8,8.05,0.299999999999999,7.95,16.275,15.2,17.6,2.25,16.55,0,0,0,0,0,0,0,0,0,30,0,4,0,"by.rb",12.3,NA,NA,NA,NA
"43",2019-07-20,45.2,6.8,0.7,44.5,1,1.9294,0.088,3,32.1,5.0243915600885,3.33333333333333,2.08794748650706,188,1346.66666666667,1892.66666666667,27.4,26.275,28.625,1.625,26.825,7.9,7.8,8,0.2,7.9,18,16.3,19.4,3.1,18.05,0,0,0,0,0,0,0,0,0,37,0,3,0,"by.rb",13.5,NA,NA,NA,NA
"44",2019-08-04,60,8.1,0.6,59.4,1,1.2789,0.2807,9.2,26.4,6.95835884874464,12.8333333333333,4.35552378574523,157,36433.9999999999,6627,29.9,29.5,31,1.1,29.9,8,7.9,8.1,0.199999999999999,8,18.575,17,19.6,2.4,18.8,2,2,2,2,2,2,2,2,0,12,0,0,0,"by.rb",14,NA,NA,NA,NA
"45",2019-09-12,50.4,14.1,1.2,49.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.85,29.5,30.2,0.75,29.8,8,7.9,8.1,0.199999999999999,8,19.55,18.1,20.9,2.95,19.5,0,0,0,0,0,0,0,0,0,28,0,0,0,"by.rb",15.5,NA,NA,NA,NA
"46",2018-06-15,26.4,24.6,NA,NA,2.5,1.502,1.2285,30.2,14,35.3837410427477,38.6666666666666,24.0655707150213,431,456428.666666666,20941,30.941,29.488,31.509,2.045,30.969,NA,NA,NA,NA,NA,13.455,12.81,14.97,1.92,13.49,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",12.4,NA,NA,NA,NA
"47",2018-07-16,18.7,15.7,4,14.7,3,1.8396,1.19,21.1,20.3,22.0345229555237,30.3333333333333,15.9532401402078,317.333333333333,328095.666666667,16182,31.2675,30.497,31.87375,1.352,31.313125,NA,NA,NA,NA,NA,15.06,14.23,16.0625,1.68,15.0375,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",13.4,NA,NA,NA,NA
"48",2018-08-06,25.5,22.9,11.2,14.3,4,2.1238,1.3822,22.8,20.2,35.8690476190476,16.1111111111111,23.4401013659695,214,99402.3333333332,10658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",13.4,NA,NA,NA,NA
"49",2018-09-10,15.6,25,6.8,8.8,1,1.912,0.46775,17.6,26.2,22.0342303777911,44.1111111111111,13.3043601047504,428,419690.666666667,20180,32.1435,31.73,32.3305,0.633500000000002,32.144,NA,NA,NA,NA,NA,16.12,15.655,16.53,0.860000000000003,15.975,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",13.9,NA,NA,NA,NA
"50",2018-10-09,26.4,37,5.2,21.2,1.5,3.9301,2.3831,32.3,36.9,43.3073361549495,18.4444444444444,33.6924986257733,455.333333333333,130327.444444444,14191.3333333333,32.0425,31.5365,32.25,0.683000000000003,32.042,NA,NA,NA,NA,NA,15.7925,15.36,16.33,0.904999999999998,15.8325,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",14.625,NA,NA,NA,NA
"51",2018-11-06,12.2,23.9,5.3,6.9,2,3.2271,2.3626,38.9,34,40.3062896102184,41.3333333333333,30.1874951149873,560.666666666667,1135680.88888889,41856.6666666667,30.1965,29.93475,30.359,0.490749999999998,30.28525,NA,NA,NA,NA,NA,15.795,15.47,16.135,0.7275,15.79375,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",14.5,NA,NA,NA,NA
"52",2018-12-04,7.2,15.9,2.9,4.3,1.5,1.4696,0.6279,9.7,16.5,31.9491457052433,24.5555555555556,23.6954681057379,339.333333333333,14653,1430,29.923,29.827,30.03,0.275000000000002,29.9135,NA,NA,NA,NA,NA,13.745,13.64,13.82,0.315000000000001,13.68,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",13.65,NA,NA,NA,NA
"53",2019-01-31,23.5,35.7,10.2,13.3,2.5,3.4509,0.414,14.7,56.5,15.442087819201,25.6666666666667,8.25081255588385,416.666666666667,100305.222222222,6694,30.942,30.20825,31.54775,1.32575,30.96725,NA,NA,NA,NA,NA,12.6525,12.2525,12.87,0.46,12.6075,0,0,0,0,0,0,0,2,NA,NA,NA,NA,0,"hs.fp",11.9,NA,NA,NA,NA
"54",2019-02-21,19.2,24.7,4.4,14.8,2,2.91133333333333,0.128333333333333,3.66666666666667,25.4444444444444,11.1649893393663,27.2222222222222,4.19968652820139,171.333333333333,29931.7777777778,1412.66666666667,27.219,22.4975,29.378,6.013,27.024,NA,NA,NA,NA,NA,12.3075,11.81,12.605,0.584999999999999,12.125,0,0,0,0,0,0,0,12,NA,NA,NA,NA,0,"hs.fp",9.7,NA,NA,NA,NA
"55",2019-03-14,20.2,38.5,7.9,12.3,2,3.4296,0.3972,11.9,41.2,19.8222816022884,45.8888888888889,10.6292897570023,437.333333333333,188142.222222222,8021.33333333333,22.6145,16.051,26.7725,9.6815,23.557,NA,NA,NA,NA,NA,11.93,11.59,12.215,0.565,11.885,0,0,7,0,0,0,9,20,NA,NA,NA,NA,0,"hs.fp",10.7,NA,NA,NA,NA
"56",2019-04-09,25.6,37.5,8.9,16.7,2.5,3.4382,1.8509,39.3,53.6,35.3956173380972,49.5555555555556,27.2075260373456,642.666666666667,687422,25658,23.21175,18.289,27.15,8.61525,24.300125,NA,NA,NA,NA,NA,13.485,13.2225,14.21,0.8025,13.4325,0,1,4,0,0,0,9,25,NA,NA,NA,NA,0,"hs.fp",12.9,NA,NA,NA,NA
"57",2019-05-08,19.1,44,12.5,6.6,5,3.47822222222222,3.922,91.6666666666667,34.1111111111111,70.9624919718712,54.5555555555556,49.5867870848665,553.333333333333,2036749.33333333,72976,25.138,20.53,29.309,8.5025,25.5765,NA,NA,NA,NA,NA,13.895,12.095,15.095,2.32,13.8825,0,0,0,0,0,0,4,29,NA,NA,NA,NA,0,"hs.fp",11.75,NA,NA,NA,NA
"58",2019-06-08,13.1,25,7.7,5.4,5,3.8844,4.6958,98.5,50.2,64.9047310926217,38.6666666666667,52.4393326299934,317.333333333333,655863.555555555,36145.3333333333,27.8265,24.05,29.843,5.95,27.90825,NA,NA,NA,NA,NA,14.4,13.85,15.705,1.955,14.3725,0,0,0,0,0,0,1,24,NA,NA,NA,NA,0,"hs.fp",12.3,NA,NA,NA,NA
"59",2019-07-20,12.1,24.5,6.7,5.4,5,5.7831,2.2365,50.7,57.6,37.4603744364035,26.5555555555555,22.5225239547658,324,264993.111111111,24086.6666666667,29.1,26.3,30.6,3.75,29.175,NA,NA,NA,NA,NA,15.05,14.025,16.6,2.4,15,0,0,0,0,0,0,0,8,NA,NA,NA,NA,0,"hs.fp",13.5,NA,NA,NA,NA
"60",2019-08-04,13.9,22.3,3.6,10.3,2.5,2.4939,1.3362,32.4,30.2,38.4140472049226,34.6666666666667,25.7233897106093,230.666666666667,333053.333333333,15615.3333333333,27.5,26.3,28,1.8,27.45,NA,NA,NA,NA,NA,16,15.2,17.1,1.8,16.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",14,NA,NA,NA,NA
"61",2019-09-12,12.2,15.8,3.3,8.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,26.6,28,1.3,27.6,NA,NA,NA,NA,NA,16.6,15.9,17.8,1.7,16.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"hs.fp",15.5,NA,NA,NA,NA
