"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","dissolved.oxygen","daily.min.do","daily.max.do","daily.do.range","daily.med.do","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20","site"
"1",2018-06-14,30,35.6,NA,NA,3,6.601,3.9375,82,77.6666666666667,49.2477866886313,49.7777777777778,24.8882440829904,250,557075.888888889,21802,22.35,20.3,26,5.75,22.4,7.6,6.8,8.5,1.7,7.625,7.625,7.7,8.1,0.4,7.8,17.95,16,22.35,6.45,18.075,1,1,1,1,1,1,1,23,1,32,1,9,0,"pc.cc"
"2",2018-07-17,90.2,29.9,3.2,87,1,1.4398,0.487,8.4,24.9,9.67748917748917,13.8888888888889,8.0279341369392,226.666666666667,67533.2222222221,6641.33333333333,25.1,23.4,27.9,4.85,25,7.3,6.2,8.1,1.95,7.35,7.8,7.7,7.9,0.3,7.8,19.75,17.95,22.9,5.15,19.675,1,1,1,1,1,1,1,14,1,34,1,8,0,"pc.cc"
"3",2018-08-07,163.5,53.4,15.4,148.1,1,2.1754,0.3992,7.8,28.9,13.3245725553025,7.77777777777777,9.16204209893318,108.666666666667,1726.66666666666,802,25.75,24.55,28.4,3.65,25.5,7.25,5.9,10,4.1,7.35,7.9,7.8,8.4,0.649999999999999,8,21.2,19.1,23,3.5,21.125,1,1,1,1,1,1,1,3,1,22,1,16,0,"pc.cc"
"4",2018-09-11,120.8,58.2,4.3,116.5,1,3.3098,0.4294,10.6,47.1,18.5738325122781,7.77777777777777,11.1251634984535,250,12830,2630,26.2,24.9,28.45,3.3,26.15,7.05,5.8,8,2,7.05,7.9,7.7,8,0.2,7.9,19.4,18,21.25,3,19.375,1,1,1,1,1,1,1,1,1,36,1,1,0,"pc.cc"
"5",2018-12-05,35.1,55,13.5,21.6,3,3.3005,1.2959,45.2,58.9,33.6364714747263,42.2222222222222,23.0614667846687,346.666666666667,278007.888888889,12372.6666666667,26,25.1,28.1,3.1,25.925,7.4,6.4,8.3,1.7,7.4,7.9,7.8,8,0.2,7.9,17.2,15.95,18.4,2.3,17.4,1,1,1,1,1,1,1,3,10,86,10,10,0,"pc.cc"
"6",2019-01-30,25.2,49.3,8.8,16.4,3,3.2846,0.6915,23.1,56.4,19.8561400534955,26.5555555555555,12.0422754261229,312,159910.666666667,17069.3333333333,22.9,21.575,25.775,4.85,23.025,8.7,8.45,9.1,0.65,8.8,7.8,7.8,7.9,0.100000000000001,7.85,11.3,10.2,12.125,2.025,11.2625,1,4,12,1,1,1,9,26,5,57,5,5,0,"pc.cc"
"7",2019-02-20,28.4,49.1,15,13.4,2.5,2.30755555555556,0.160444444444444,8.22222222222222,48.375,9.44711566904561,35.6666666666667,5.05535040694236,338,146512.777777778,5751.33333333333,12.75,10,19.8,10.35,12.1,9.4,8.6,10.1,1.35,9.45,7.7,7.7,7.8,0.0999999999999996,7.7,11.1,9.9,11.95,2.1,10.9,2,11,21,1,1,4,13,20,1,22,1,1,0,"pc.cc"
"8",2019-03-15,21.7,38.2,13.2,8.5,2,3.2326,0.1099,5.8,75.3,5.43926740101599,18.1111111111111,2.28019209808714,186.666666666667,29954.6666666667,3894.66666666667,5,3.9,11.5,6.4,5,9.85,9.4,10.1,0.700000000000001,9.9,7.85,7.8,7.9,0.100000000000001,7.85,11.2,10.45,12.3,1.8,11.3,19,24,24,3,12,22,3,16,1,23,1,1,0,"pc.cc"
"9",2019-04-11,19.4,37.2,11.4,8,2,3.6192,0.1755,6.8,96.2,6.81932697769802,14.6666666666667,4.05590927857383,295.333333333333,26138,4220.66666666667,7.3,5.85,15,8.85,7.25,9.25,8.7,9.75,1.1,9.2,8,7.9,8.1,0.2,7.9,14.7,13.6,17,3.1,14.55,6,28,28,1,2,14,10,26,1,23,1,4,0,"pc.cc"
"10",2019-05-09,12.3,40.5,8.9,3.4,5,4.5223,1.4546,57.5,92.7,33.1041596958124,0,21.6652968514317,236.666666666667,0,10352,9.45,7.475,17.05,9.325,8.8625,8.5,7.675,9,1.55,8.4375,8,7.8,8.1,0.3,8,16.8,15.15,20.375,5.675,17.1,1,25,29,1,1,7,11,28,1,28,1,4,0,"pc.cc"
"11",2019-06-09,6.1,25.7,2.9,3.2,5,4.3251,4.678,99.3,57.6,59.1684416615552,2.66666666666667,47.3852789130402,248,21804.6666666667,17441.3333333333,13.55,11.2,20.15,9.5,13.2,7.95,7.4,8.6,1.4,8,7.7,7.5,7.8,0.3,7.7,17.4,15.85,21,5.15,17.675,1,11,32,1,1,1,13,32,1,32,1,2,0,"pc.cc"
"12",2019-07-21,30.6,9.8,1.7,28.9,1,1.2655,0.5457,8.2,21.8,12.3464737876503,3.77777777777779,10.4125220579748,173.333333333333,17371.7777777778,5105.33333333333,20.2,17.25,24.425,7.775,19.3,7.3,6.575,7.85,1.35,7.3,7.7,7.5,7.8,0.225,7.7,19.75,17.475,22.425,5.15,19.9625,1,2,19,1,1,1,7,43,1,43,1,1,0,"pc.cc"
"13",2019-08-04,17.3,7.7,4.4,12.9,1,1.0108,0.1,2.8,19.2,4.74358974358975,0,2.4091820386987,95,0,1393,23.5,20.325,26.9,5.9,23.0875,7.475,5.95,8.45,2.225,7.525,8,7.7,8.1,0.35,8,20.75,18.6,23.075,4.825,21.025,1,1,1,1,1,1,1,12,1,15,1,2,0,"pc.cc"
"14",2019-09-12,15.1,16.5,3.1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,21.65,26.75,5.1,23.15,7.15,6.3,8.2,1.9,7.275,7.9,7.7,8.1,0.3,7.9,21.15,19.4,23.05,3.8,21.1,1,1,1,1,1,1,1,21,1,39,1,3,0,"pc.cc"
"15",2018-06-14,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,241.333333333333,224814.666666667,8412,27.545,23.475,30.71,7.105,27.42,7.59,6.73,8.25,1.31,7.6175,7.835,7.75,7.875,0.100000000000001,7.83,15.43,13.44,16.885,3.26,15.46,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"16",2018-07-17,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,270,390164.111111111,12640.6666666667,29.7475,26.045,31.4,5.475,29.7375,7.39,6.94,7.76,0.835,7.27,7.84,7.81,7.88,0.0700000000000003,7.83,16.49,15.015,18.125,3.58,16.37,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"17",2018-08-07,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,206.666666666667,40890.0000000001,5752,30.04,27.18,31.93,4.655,29.99,7.18,6.83,7.55,0.775,7.125,7.885,7.84,7.915,0.0700000000000003,7.88,18.2,16.48,19.285,2.805,18.1475,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"18",2018-09-11,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,154.666666666667,11622.8888888889,2372.66666666667,29.4225,27.21,31.68,4.185,29.74,7.18,6.81,7.53,0.58,7.08,7.81,7.79,7.86,0.0750000000000002,7.8175,17.17,15.69,18.3,2.55,17.19,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"19",2018-10-10,39.6,36.4,3,36.6,1,2.4681,2.8906,50.3,35.1,59.2180483118082,50.7777777777778,50.787789538915,406,1077686.66666667,28538,29.635,27.795,31.705,3.86,29.555,7.115,6.86,7.44,0.535,7.1075,7.78,7.77,7.81,0.04,7.79,17.365,15.87,18.16,2.25,17.345,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"20",2018-12-05,18.9,27,5.2,13.7,2.5,1.2685,0.8268,26.6,21.8,43.3237831624044,44.7777777777778,32.4183747533188,356.666666666667,342350.333333333,16447.3333333333,29.84,27.8675,31.6875,3.92,29.72,7.195,6.9775,7.495,0.56,7.2025,7.82,7.79,7.835,0.04,7.81,15.435,14.8975,16.8025,1.2775,15.94875,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"21",2019-01-30,21.6,28.3,12.1,9.5,3,1.3712,0.5188,11.1,24.4,31.7066224729917,25.2222222222222,22.3551608172246,412,90319.5555555554,6624.66666666667,27.44,24.4125,31.06,6.6175,27.5325,8.38,7.915,8.7275,0.7325,8.4325,7.84,7.81,7.89,0.0700000000000003,7.8575,12.145,11.6,12.7125,0.9875,12.1125,10,10,10,10,10,10,10,10,10,10,10,10,10,"nd.eos"
"22",2019-02-20,18.9,28.9,2.7,16.2,2,2.5303,0.1787,5.8,46.9,16.6411169076892,17,4.75867321259775,163.666666666667,33894.1111111112,3071.33333333333,20.35,13.345,28.97,15.165,18.375,8.8,8.33,9.46,1.01,9.0275,7.88,7.83,7.92,0.100000000000001,7.87,11.805,11.015,12.55,1.35,11.48,1,4,4,4,4,4,4,4,4,4,4,4,4,"nd.eos"
"23",2019-03-15,16.9,28.3,4.6,12.3,3,2.2784,0.5226,21.9,50.7,25.4320695646647,17,14.9970135803785,308,59873.7777777778,7044,8.875,5.565,20.215,15.43,8.805,9.635,8.82,9.95,0.995000000000001,9.63,7.93,7.83,8.04,0.185,7.925,11.36,10.935,11.935,0.890000000000001,11.17,11,24,24,24,24,24,24,24,24,24,24,24,24,"nd.eos"
"24",2019-04-11,23,22.1,7.9,15.1,3,2.0753,0.532,12.4,42.8,16.7804543594634,31.8888888888889,14.7685235421156,323.333333333333,109256,9482.66666666667,13.035,8.17,27.01,18.02,13.97,8.97,8.47,9.275,0.785,8.89,8.015,7.94,8.1,0.145,8.0425,13.8,13.34,14.25,1.06,13.78,2,21,21,21,21,21,21,21,21,21,21,21,21,"nd.eos"
"25",2019-05-09,38.7,35.7,8.9,29.8,2,2.1057,1.2014,30.7,31.5,41.1868141683967,3.44444444444444,27.821886947093,341.333333333333,61150,19322.6666666667,17.47,10.75,28.7625,17.355,17.51,8.5025,7.08,8.94,1.6425,8.39625,8.03,7.95,8.0925,0.1175,8.0325,14.94,12.465,16.1925,3.7,14.99375,1,11,11,11,11,11,11,11,11,11,11,11,11,"nd.eos"
"26",2019-06-09,19.3,21.2,5.2,14.1,3,2.6942,2.9833,64.6,31.3,59.7270538464109,11,45.581258642884,226.666666666667,90213.3333333333,20745.3333333333,21.135,13.905,29.04,15.195,21.3725,7.905,7.48,8.36,1.21,7.9375,7.92,7.87,7.96,0.0699999999999994,7.92,15.49,14.02,16.905,3.115,15.5,1,2,2,2,2,2,2,2,2,2,2,2,2,"nd.eos"
"27",2019-07-21,20.8,15,2.6,18.2,3,1.6024,2.0675,31.5,13.6,62.1812939888456,25.3333333333333,45.0250637683385,297.333333333333,30833,2492,26.15,20.765,30.43,9.94,25.935,7.47,6.935,7.915,0.972500000000001,7.3925,7.83,7.76,7.86,0.13,7.8225,17.06,14.6925,18.6225,3.9425,17.1625,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"28",2019-08-04,19,17.4,2.7,16.3,2,1.8058,1.6752,31.2,16.6,62.9435214882378,14,43.6615832008545,258,73592.8888888888,10223.3333333333,25.985,22.31,28.62,6.425,26.32125,7.87,7.6625,7.6625,7.6625,7.6625,7.52,7.465,7.465,7.465,7.465,17.64,15.5725,15.5725,15.5725,15.5725,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"29",2019-09-12,17.8,17,1.9,15.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.665,24.36,31.235,6.4,27.9725,7.1,6.665,6.665,6.665,6.665,7.84,7.795,7.795,7.795,7.795,18.715,16.7175,16.7175,16.7175,16.7175,1,1,1,1,1,1,1,1,1,1,1,1,1,"nd.eos"
"30",2018-06-15,34.3,29.8,NA,NA,2,2.2964,0.6285,24.125,53,21.1995074852218,12.1111111111111,12.782955507118,193.666666666667,62798.7777777777,10240.6666666667,29.05,28.25,29.5,1.275,28.7875,8.2,5.85,10.95,5.2,8.2,8.1,7.8,8.3,0.5,8.1,17.825,14.4,19.85,5.4,17.95,28,28,28,28,28,28,28,28,1,31,1,12,0,"by.rb"
"31",2018-07-16,128.2,52.7,10.9,117.3,2,2.5721,0.4581,14.9,64.3,12.955427339889,4.66666666666668,8.97562110625184,200,13815.1111111111,6976,31.05,30.4,31.3,0.850000000000001,30.675,7.55,5.9,9,3,7.6,7.9,7.8,8,0.2,7.9,18.325,16.2,20.45,4.5,18.425,29,29,29,29,29,29,29,29,1,32,1,1,0,"by.rb"
"32",2018-08-06,119.9,38.4,12.9,107,4,3.4752,1.0841,18.3,74.4,17.5410929133971,8.44444444444442,17.1001838856863,282,26579.111111111,5470.66666666667,31.1,30.25,31.125,0.725,30.6375,7.7,6.45,9,2.6,7.75,7.9,7.8,8,0.199999999999999,7.9,19.3,17.9,19.95,2,19.2,18,18,18,18,18,18,18,18,1,22,1,1,0,"by.rb"
"33",2018-09-10,102.4,52.4,4.8,97.6,1,4.2065,0.356333333333333,6.6,63.9,7.52654480595657,11.2222222222222,5.25886682579841,179.333333333333,23930.2222222222,3139.33333333333,31.8,30.2,31.4,0.800000000000001,30.925,7.4,6.25,9.15,2.85,7.35,7.9,7.7,8,0.2,7.9,18.7,17.15,19.8,2.325,18.8375,33,33,33,33,33,33,33,33,4,36,4,8,0,"by.rb"
"34",2018-10-09,49.9,47.5,8.9,41,1,9.2224,2.9664,73.9,152.2,29.5443404818578,23.2222222222222,23.5044667643068,291.333333333333,386300.888888889,24840,31.7,29.5,31.2,1.7,31.1,7.55,6.6,8.9,2.05,7.5,7.9,7.8,8,0.2,7.9,18.55,17.4,19.4,2.05,18.575,29,29,29,29,29,29,29,29,1,30,1,1,0,"by.rb"
"35",2018-11-06,33.2,61.5,10.2,23,2,7.337,3.521,78.8,91.4,43.8850524515228,25.7777777777778,29.0074512390104,367.333333333333,382297.777777778,28466.6666666667,31.6,30.525,31.85,1.275,31.4,7.4,6.525,8.75,2.075,7.6375,7.9,7.8,8,0.2,7.9,17,16.3,17.65,1.125,16.975,25,25,25,25,25,25,25,25,1,29,1,1,0,"by.rb"
"36",2018-12-04,26.4,53.5,8.1,18.3,2,3.684,0.8919,33,55.5,29.5146615752001,47,14.6673269941759,345.333333333333,311427.777777778,13362.6666666667,31.35,NA,NA,NA,NA,7.7,7.05,9.4,2.45,7.8,8,7.8,8.1,0.299999999999999,7.95,15.1,12.7,13.5,0.9,13.15,29,29,29,29,29,29,29,29,2,29,2,4,0,"by.rb"
"37",2019-01-31,19.6,42.3,4,15.6,2,2.893,0.1291,3.9,58.3,4.48466632298315,55.111111111111,2.56926152815183,167.333333333333,60958.4444444443,1490.66666666667,29.5,29.1,30.1,1,29.6,7.85,7.525,8.3,0.8,7.9,7.9,7.8,7.9,0.100000000000001,7.9,12.05,11.475,12.5,1.15,12,54,54,54,54,54,54,54,54,3,59,3,3,0,"by.rb"
"38",2019-02-21,17.4,39.1,7.2,10.2,2,3.3092,0.1633,6.3,68,5.25358671029449,28.1111111111111,2.45863693431041,244.666666666667,82913.3333333333,5530,22.8,22.15,24.8,1.55,24,8.4,8.1,8.8,0.799999999999999,8.4,7.9,7.9,8,0.0999999999999996,7.9,11.7,11.2,12.1,0.9,11.7,19,19,19,19,19,19,19,19,4,21,4,4,0,"by.rb"
"39",2019-03-14,18.1,44.1,10.3,7.8,2,4.0094,0.2845,9.3,69.6,9.73509542447726,29.2222222222222,5.07044378040752,340,100561.888888889,8235.33333333333,16.85,15.9,18.1,2.15,16.75,9.2,8.85,9.8,1,9.2,8,7.9,8.075,0.0999999999999996,8,11.9,11.65,12.35,0.85,11.9,15,15,17,15,15,15,15,15,2,14,2,2,0,"by.rb"
"40",2019-04-09,17,49.1,7.9,9.1,2,5.9182,0.3883,11.6,88.2,9.76056495418357,23.3333333333333,5.50368015624486,302.333333333333,48415,6584.33333333333,18.9,15.025,16.8,2.1,15.6,9.4,8.025,13.1,5.125,9.3,8.1,8,8.5,0.5,8.125,14.5,13.75,15.5,1.65,14.4,23,23,25,23,23,24,23,23,1,11,1,10,0,"by.rb"
"41",2019-05-08,44.2,43.2,6.2,38,2.5,5.2387,0.9579,37.3,102.5,17.9204023733361,1.77777777777778,10.3509385347999,357.333333333333,8695.33333333333,9808,21.175,21,21.7,0.900000000000002,21.3,10.4,6.9,14.6,7.25,10.8,8.3,7.9,8.6,0.65,8.35,16.15,14.5,18,3.45,16.35,27,27,27,27,27,27,27,27,1,20,1,22,0,"by.rb"
"42",2019-06-08,10.5,23.9,3.4,7.1,2.5,7.6804,2.0539,64.2,139.5,19.7225076969206,9.11111111111112,12.4524501527057,343,219347.333333334,42421.6666666667,24.5,NA,NA,NA,NA,7.3,5.65,8.9,3.25,7.325,7.9,7.8,8.1,0.3,7.9,16.95,15.2,18.65,3.15,17.25,32,32,32,32,32,32,32,32,1,32,1,6,0,"by.rb"
"43",2019-07-20,45.2,6.8,0.7,44.5,1,1.9294,0.088,3,32.1,5.0243915600885,3.33333333333333,2.08794748650706,188,1346.66666666667,1892.66666666667,27.1,25.775,28.075,1.85,26.625,7.1,5.15,9.15,4.8,7.2,7.9,7.7,8.1,0.4,7.9,18.675,16.3,20.85,4.25,19,37,37,37,37,37,37,37,37,1,41,1,14,0,"by.rb"
"44",2019-08-04,60,8.1,0.6,59.4,1,1.2789,0.2807,9.2,26.4,6.95835884874464,12.8333333333333,4.35552378574523,157,36433.9999999999,6627,29.8,NA,NA,NA,NA,7.5,6.5,9.2,2.55,7.5,8,7.9,8.1,0.199999999999999,8,19,17,19.95,3.05,19.1,16,16,16,16,16,16,16,16,1,14,1,1,0,"by.rb"
"45",2019-09-12,50.4,14.1,1.2,49.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.95,29.5,30.25,0.775,29.875,7.2,5.95,8.9,3.15,7.3,8,7.9,8.1,0.250000000000001,8,20,18.1,21.7,3.7,20.2,28,28,28,28,28,28,28,28,1,39,1,1,0,"by.rb"
"46",2018-06-15,26.4,24.6,NA,NA,2.5,1.502,1.2285,30.2,14,35.3837410427477,38.6666666666666,24.0655707150213,431,456428.666666666,20941,30.922,29.3875,31.588,2.1715,30.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.38,12.7,14.98,2.17,13.44,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"47",2018-07-16,18.7,15.7,4,14.7,3,1.8396,1.19,21.1,20.3,22.0345229555237,30.3333333333333,15.9532401402078,317.333333333333,328095.666666667,16182,31.29,30.3875,31.9415,1.449,31.40675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.96,14.1875,16.0625,1.765,14.88875,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"48",2018-08-06,25.5,22.9,11.2,14.3,4,2.1238,1.3822,22.8,20.2,35.8690476190476,16.1111111111111,23.4401013659695,214,99402.3333333332,10658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"49",2018-09-10,15.6,25,6.8,8.8,1,1.912,0.46775,17.6,26.2,22.0342303777911,44.1111111111111,13.3043601047504,428,419690.666666667,20180,32.1355,31.697,32.3305,0.665000000000003,32.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1425,15.655,16.585,0.875,15.9675,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"50",2018-10-09,26.4,37,5.2,21.2,1.5,3.9301,2.3831,32.3,36.9,43.3073361549495,18.4444444444444,33.6924986257733,455.333333333333,130327.444444444,14191.3333333333,32.02425,31.5255,32.291,0.713999999999999,32.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8075,15.35,16.345,0.975,15.745,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"51",2018-11-06,12.2,23.9,5.3,6.9,2,3.2271,2.3626,38.9,34,40.3062896102184,41.3333333333333,30.1874951149873,560.666666666667,1135680.88888889,41856.6666666667,30.168,29.86,30.359,0.556750000000001,30.2365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.79,15.47,16.2225,0.787500000000001,15.7925,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"52",2018-12-04,7.2,15.9,2.9,4.3,1.5,1.4696,0.6279,9.7,16.5,31.9491457052433,24.5555555555556,23.6954681057379,339.333333333333,14653,1430,29.9045,29.7655,30.03,0.3215,29.9055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.73,13.67,13.91,0.43,13.76625,2,2,2,2,2,2,2,2,NA,NA,NA,NA,0,"hs.fp"
"53",2019-01-31,23.5,35.7,10.2,13.3,2.5,3.4509,0.414,14.7,56.5,15.442087819201,25.6666666666667,8.25081255588385,416.666666666667,100305.222222222,6694,30.882,29.9255,31.6015,1.7,30.98925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.68,12.25,12.88,0.58,12.625,1,1,1,1,1,1,1,5,NA,NA,NA,NA,0,"hs.fp"
"54",2019-02-21,19.2,24.7,4.4,14.8,2,2.91133333333333,0.128333333333333,3.66666666666667,25.4444444444444,11.1649893393663,27.2222222222222,4.19968652820139,171.333333333333,29931.7777777778,1412.66666666667,27.29975,22.1445,29.8595,7.033,26.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.31,11.69,12.605,0.860000000000001,12.12,1,1,1,1,1,1,5,16,NA,NA,NA,NA,0,"hs.fp"
"55",2019-03-14,20.2,38.5,7.9,12.3,2,3.4296,0.3972,11.9,41.2,19.8222816022884,45.8888888888889,10.6292897570023,437.333333333333,188142.222222222,8021.33333333333,22.18275,15.648,27.339,11.829,23.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.92,11.485,12.22,0.77,11.91,1,1,11,1,1,1,17,21,NA,NA,NA,NA,0,"hs.fp"
"56",2019-04-09,25.6,37.5,8.9,16.7,2.5,3.4382,1.8509,39.3,53.6,35.3956173380972,49.5555555555556,27.2075260373456,642.666666666667,687422,25658,23.8035,18.289,28.10325,9.308,25.177875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.43,13.13,14.23,0.822500000000001,13.415,1,2,5,1,1,1,11,27,NA,NA,NA,NA,0,"hs.fp"
"57",2019-05-08,19.1,44,12.5,6.6,5,3.47822222222222,3.922,91.6666666666667,34.1111111111111,70.9624919718712,54.5555555555556,49.5867870848665,553.333333333333,2036749.33333333,72976,26.083,20.53,29.9225,9.325,26.67575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4925,11.915,15.095,2.415,13.33,1,1,1,1,1,1,11,30,NA,NA,NA,NA,0,"hs.fp"
"58",2019-06-08,13.1,25,7.7,5.4,5,3.8844,4.6958,98.5,50.2,64.9047310926217,38.6666666666667,52.4393326299934,317.333333333333,655863.555555555,36145.3333333333,28.194,24.045,30.2445,6.2475,28.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.265,13.84,15.705,2.015,14.245,1,1,1,1,1,1,3,26,NA,NA,NA,NA,0,"hs.fp"
"59",2019-07-20,12.1,24.5,6.7,5.4,5,5.7831,2.2365,50.7,57.6,37.4603744364035,26.5555555555555,22.5225239547658,324,264993.111111111,24086.6666666667,29.23325,26.11775,30.79,4.58125,29.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.89,13.94,16.605,2.615,14.76,1,1,1,1,1,1,1,15,NA,NA,NA,NA,0,"hs.fp"
"60",2019-08-04,13.9,22.3,3.6,10.3,2.5,2.4939,1.3362,32.4,30.2,38.4140472049226,34.6666666666667,25.7233897106093,230.666666666667,333053.333333333,15615.3333333333,27.524,26.272,28.091,1.8425,27.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6925,15.21,17.12,1.885,15.86,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
"61",2019-09-12,12.2,15.8,3.3,8.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.576,26.634,28.0305,1.3965,27.5715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.59,15.91,17.805,1.76,16.38,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,"hs.fp"
