thalli,date,run,start_time,end_time,thalli,tank,treatment,hach_start_unit,hach_end_unit,hach_period,unit_ph_hach,unit_temp_hach,unit_sal_hach,unit_do_hach,par,thalli_weight,discrete_collection_time,header_hach_time,header_pH_hach,header_temp_hach,header_sal_hach,header_do_hach,repro_apices,veg_apices,wwr,wwv,wwrecp,concept,oo_in_1,oo_in_2,oo_in_3,dwr,dwv,dwrecp,oo_disc_1,oo_disc_2,oo_disc_3,oo_disc_4,ph_probe_location,hobo_logger_location,notes
A1,11/12/2019,1,11:23,16:00,A1,A,1,12:39,13:12,start,7.96,16.1,26.9,8.63,758,28.336,12:12,12:12,7.85,15.5,26.8,8.8,57,9,18.436,8.233,1.394,320,18,29,25,2.692,2.149,0.21,1003,71,67,NA,header tank 1=yellow probe,probe #1=B2,par measured 07:50am-08:15am
A2,11/12/2019,1,11:23,16:00,A2,A,2,12:39,13:12,start,7.1,16.4,27.3,9.97,749,28.876,12:12,12:12,7.11,15.4,26.7,8.59,98,2,23.153,4.196,1.131,312,43,50,53,3.443,1.184,0.151,27,40,17,7,header tank 2=purple probe,probe #3=B4,thalli attached an put in unit tanks at 10:32am
A3,11/12/2019,1,11:23,16:00,A3,A,3,12:39,13:12,start,8.12,16.3,30.7,8.32,750,29.929,11:54,11:54,7.98,15.4,30.5,10.24,37,6,23.183,4.29,1.713,350,21,58,41,3.09,1.202,0.206,70,387,45,205,header tank 3=red probe,"probe #4=B ledge, out of water",delayed water flow to header tanks 1 and 4
A4,11/12/2019,1,11:23,16:00,A4,A,4,12:39,13:12,start,7.72,16.5,30.7,8.87,770,27.361,11:54,11:54,7.37,15.4,30.5,10.14,57,6,18.619,6.748,0.857,274,43,36,47,2.77,1.745,0.121,35,12,45,30,heander tank 4=blue probe,probe #5=B3,by 11:45am all units have eaqual flow--> should this be the true start time of run 1?
B1,11/12/2019,1,11:23,16:00,B1,B,1,12:39,13:12,start,7.96,16,26.7,10.1,763,30.021,NA,NA,NA,NA,NA,NA,57,2,20.653,7.979,0.512,294,37,52,50,2.781,1.958,0.083,96,254,569,93,,probe #7=low salinity large resevoir,
B2,11/12/2019,1,11:23,16:00,B2,B,2,12:39,13:12,start,7.12,15.9,27,10.3,753,27.232,NA,NA,NA,NA,NA,NA,39,10,19.98,5.689,0.546,206,68,28,25,2.623,1.347,0.07,516,532,1400,NA,,probe #8=high salinity large resevoir,am flow issue-resolved
B3,11/12/2019,1,11:23,16:00,B3,B,3,12:39,13:12,start,8.12,15.8,30.5,10.02,766,28.713,NA,NA,NA,NA,NA,NA,33,12,22.418,4.925,1.529,374,25,14,56,3.447,1.386,0.271,375,278,197,NA,,probe #9=B1,am flow issue-resolved
B4,11/12/2019,1,11:23,16:00,B4,B,4,12:39,13:12,start,7.61,16.3,30.5,9.24,757,30.443,NA,NA,NA,NA,NA,NA,34,13,21.241,7.516,1.363,362,59,58,58,3.012,1.85,0.202,387,426,225,542,,"09:30am launch of hobo loggers, 15min interval, installed in water at 10:26am",
C1,11/12/2019,1,11:23,16:00,C1,C,1,12:39,13:12,start,8.12,15.6,26.6,10.76,740,28.541,NA,NA,NA,NA,NA,NA,48,30,18.471,8.453,0.52,322,34,22,41,2.299,1.935,0.07,148,78,162,NA,,,
C2,11/12/2019,1,11:23,16:00,C2,C,2,12:39,13:12,start,7.18,15.4,26.8,10.32,753,27.195,NA,NA,NA,NA,NA,NA,37,12,21.508,5.205,0.762,244,12,34,12,2.916,1.314,0.133,458,112,495,129,,,
C3,11/12/2019,1,11:23,16:00,C3,C,3,12:39,13:12,start,8.21,15.6,30.3,10.43,758,28.288,NA,NA,NA,NA,NA,NA,47,0,21.6,5.217,0.984,388,34,49,57,3.2,1.488,0.139,32,136,105,8,,,am flow issue-resolved
C4,11/12/2019,1,11:23,16:00,C4,C,4,12:39,13:12,start,8.05,15.9,30.4,10.32,762,30.913,NA,NA,NA,NA,NA,NA,81,30,17.994,11.349,0.374,272,63,40,26,2.798,2.724,0.062,152,97,88,62,,,
D1,11/12/2019,1,11:23,16:00,D1,D,1,12:39,13:12,start,7.92,16.5,26.9,9.48,740,31.183,NA,NA,NA,NA,NA,NA,49,0,27.612,4.283,1.084,344,37,62,28,3.86,1.154,0.16,105,6,135,36,,,
D2,11/12/2019,1,11:23,16:00,D2,D,2,12:39,13:12,start,6.6,16.3,26.9,9.56,753,31.15,NA,NA,NA,NA,NA,NA,46,0,25.288,5.579,1.369,414,86,51,30,3.317,1.5,0.176,126,83,155,86,,,
D3,11/12/2019,1,11:23,16:00,D3,D,3,12:39,13:12,start,8.04,16.6,30.5,9.25,747,30.85,NA,NA,NA,NA,NA,NA,44,0,25.732,4.769,1.197,288,26,53,60,3.991,1.39,0.194,NA,38,16,7,,,
D4,11/12/2019,1,11:23,16:00,D4,D,4,12:39,13:12,start,7.99,16.8,30.5,10.16,781,31.341,NA,NA,NA,NA,NA,NA,35,7,22.943,7.999,1.267,404,17,32,17,3.118,1.941,0.182,10,8,20,6,,,
E1,11/12/2019,1,11:23,16:00,E1,E,1,12:39,13:12,start,8,16.1,27,9.72,736,31.321,NA,NA,NA,NA,NA,NA,39,3,25.101,5.463,0.894,328,40,46,36,3.733,1.574,0.134,488,1012,304,NA,,,
E2,11/12/2019,1,11:23,16:00,E2,E,2,12:39,13:12,start,6.64,16.1,27.1,9.35,754,30.305,NA,NA,NA,NA,NA,NA,40,0,24.006,5.221,0.982,348,26,79,48,3.498,1.543,0.136,191,422,352,154,,,
E3,11/12/2019,1,11:23,16:00,E3,E,3,12:39,13:12,start,8.16,16.4,30.5,9.35,733,31.416,NA,NA,NA,NA,NA,NA,38,0,27.011,3.222,2.116,576,36,20,13,3.745,0.915,0.305,122,231,257,283,,,
E4,11/12/2019,1,11:23,16:00,E4,E,4,12:39,13:12,start,7.99,16.8,30.5,10.2,743,29.624,NA,NA,NA,NA,NA,NA,35,7,20.874,8.603,1.077,228,18,7,10,2.805,2.163,0.136,2,2,3,5,,,
A1,11/12/2019,1,11:23,16:00,A1,A,1,14:05,14:41,mid,7.92,16.3,27.1,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A2,11/12/2019,1,11:23,16:00,A2,A,2,14:05,14:41,mid,6.67,16.7,27.3,9.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A3,11/12/2019,1,11:23,16:00,A3,A,3,14:05,14:41,mid,8.07,16.6,30.7,9.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A4,11/12/2019,1,11:23,16:00,A4,A,4,14:05,14:41,mid,7.48,16.6,30.7,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B1,11/12/2019,1,11:23,16:00,B1,B,1,14:05,14:41,mid,7.9,16.3,27,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B2,11/12/2019,1,11:23,16:00,B2,B,2,14:05,14:41,mid,6.65,16.4,27.1,9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B3,11/12/2019,1,11:23,16:00,B3,B,3,14:05,14:41,mid,8.03,16.6,30.6,9.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B4,11/12/2019,1,11:23,16:00,B4,B,4,14:05,14:41,mid,7.34,16.7,30.6,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C1,11/12/2019,1,11:23,16:00,C1,C,1,14:05,14:41,mid,8.09,16.3,26.8,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C2,11/12/2019,1,11:23,16:00,C2,C,2,14:05,14:41,mid,6.58,16.3,26.9,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C3,11/12/2019,1,11:23,16:00,C3,C,3,14:05,14:41,mid,8.07,16.5,30.5,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C4,11/12/2019,1,11:23,16:00,C4,C,4,14:05,14:41,mid,7.39,16.8,30.6,9.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D1,11/12/2019,1,11:23,16:00,D1,D,1,14:05,14:41,mid,7.92,16.7,27,9.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D2,11/12/2019,1,11:23,16:00,D2,D,2,14:05,14:41,mid,6.48,16.6,26.9,9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D3,11/12/2019,1,11:23,16:00,D3,D,3,14:05,14:41,mid,8.04,16.9,30.5,9.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D4,11/12/2019,1,11:23,16:00,D4,D,4,14:05,14:41,mid,7.92,16.6,30.4,9.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E1,11/12/2019,1,11:23,16:00,E1,E,1,14:05,14:41,mid,7.92,16.7,27.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E2,11/12/2019,1,11:23,16:00,E2,E,2,14:05,14:41,mid,6.49,16.6,27,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E3,11/12/2019,1,11:23,16:00,E3,E,3,14:05,14:41,mid,8.11,17,30.6,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E4,11/12/2019,1,11:23,16:00,E4,E,4,14:05,14:41,mid,7.9,17.5,30.6,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A1,11/12/2019,1,11:23,16:00,A1,A,1,15:29,15:55,end,7.91,16.4,27.3,9.02,NA,NA,14:25,14:55,8.01,16.2,27.1,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A2,11/12/2019,1,11:23,16:00,A2,A,2,15:29,15:55,end,6.64,16.5,26.9,9.09,NA,NA,14:25,14:55,6.33,16.1,27,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A3,11/12/2019,1,11:23,16:00,A3,A,3,15:29,15:55,end,8.05,16.7,30.6,9.16,NA,NA,14:25,14:55,8.02,16.5,30.6,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A4,11/12/2019,1,11:23,16:00,A4,A,4,15:29,15:55,end,7.39,16.6,30.6,10.22,NA,NA,14:25,14:55,7.24,16.5,30.6,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B1,11/12/2019,1,11:23,16:00,B1,B,1,15:29,15:55,end,7.98,16.2,27,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B2,11/12/2019,1,11:23,16:00,B2,B,2,15:29,15:55,end,6.51,16.3,27,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B3,11/12/2019,1,11:23,16:00,B3,B,3,15:29,15:55,end,8.06,16.4,30.6,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
B4,11/12/2019,1,11:23,16:00,B4,B,4,15:29,15:55,end,7.43,16.6,30.6,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C1,11/12/2019,1,11:23,16:00,C1,C,1,15:29,15:55,end,8.12,16.5,26.5,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C2,11/12/2019,1,11:23,16:00,C2,C,2,15:29,15:55,end,6.65,16.5,27,9.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C3,11/12/2019,1,11:23,16:00,C3,C,3,15:29,15:55,end,8.1,16.7,30.6,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
C4,11/12/2019,1,11:23,16:00,C4,C,4,15:29,15:55,end,7.39,17,30.7,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D1,11/12/2019,1,11:23,16:00,D1,D,1,15:29,15:55,end,7.95,16.4,27,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D2,11/12/2019,1,11:23,16:00,D2,D,2,15:29,15:55,end,6.52,16.3,27,9.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D3,11/12/2019,1,11:23,16:00,D3,D,3,15:29,15:55,end,8.01,16.6,30.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
D4,11/12/2019,1,11:23,16:00,D4,D,4,15:29,15:55,end,7.76,16.1,30.4,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E1,11/12/2019,1,11:23,16:00,E1,E,1,15:29,15:55,end,7.9,16.7,27.1,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E2,11/12/2019,1,11:23,16:00,E2,E,2,15:29,15:55,end,6.64,16.7,27.1,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E3,11/12/2019,1,11:23,16:00,E3,E,3,15:29,15:55,end,8.11,17,30.6,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
E4,11/12/2019,1,11:23,16:00,E4,E,4,15:29,15:55,end,7.73,17.4,30.6,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
A1,11/14/2019,2,10:20,13:34,A1,A,1,11:20,12:00,start,8.09,14.5,27.6,10.78,752,31.645,11:01,10:44,7.98,14.7,26.4,8.78,51,2,25.268,3.829,0.529,290,14,33,8,3.591,1.125,0.091,321,432,758,NA,header tank 1=red probe,probe #1=B2,pH probe in header tank #4 fell in around 10:45am
A2,11/14/2019,2,10:20,13:34,A2,A,2,11:20,12:00,start,7.58,14.5,27.6,10.93,761,30.557,11:01,10:44,7.47,14.6,26.4,8.93,49,13,21.3,7.239,1.147,456,53,48,28,2.788,1.919,0.178,15,101,12,NA,header tank 2=purple probe,probe #3=B4,PAR taken at 08:10am
A3,11/14/2019,2,10:20,13:34,A3,A,3,11:20,12:00,start,8.1,14.5,30.5,10.94,745,31.333,11:01,10:44,8.12,14.6,30.8,8.64,36,0,25.207,3.627,1.276,340,16,59,26,3.745,1.124,0.228,88,88,395,NA,header tank 3=NA,"probe #4=B ledge, out of water","flow rate: 50mL in 3.16 seconds, 3.38 seconds, and 3.21 seconds"
A4,11/14/2019,2,10:20,13:34,A4,A,4,11:20,12:00,start,7.73,14.6,31,10.84,772,30.835,11:01,10:44,8.02,14.8,30.9,8.75,52,1,24.779,3.551,0.488,224,77,34,29,3.726,1.051,0.08,595,334,210,NA,heander tank 4=blue probe,probe #5=B3,at 12:35 heavy mist started until end of experiement
B1,11/14/2019,2,10:20,13:34,B1,B,1,11:20,12:00,start,8,14.5,26.4,10.83,743,31.837,NA,NA,NA,NA,NA,NA,58,4,25.192,4.961,1.284,398,16,46,37,3.801,1.429,0.217,121,4,689,374,,probe #7=low salinity large resevoir,"Hach pH probe started taking longer to get readings, was only able to do 2 reading instead of three in the units. Seemed like a connection problem but the readings seemed accurate when compared to the pH probes in the header tank"
B2,11/14/2019,2,10:20,13:34,B2,B,2,11:20,12:00,start,7.51,14.5,26.4,10.52,734,32.542,NA,NA,NA,NA,NA,NA,63,0,23.613,6.784,0.738,340,59,25,13,3.118,1.834,0.11,47,58,24,0,,probe #8=high salinity large resevoir,13:20 pH probes taken out
B3,11/14/2019,2,10:20,13:34,B3,B,3,11:20,12:00,start,8.11,14.5,30.9,10.75,729,28.013,NA,NA,NA,NA,NA,NA,50,11,20.678,5.628,0.738,336,70,51,30,3.169,1.578,0.136,68,631,29,NA,,probe #9=B1,"13:34 water off, stand pipes out"
B4,11/14/2019,2,10:20,13:34,B4,B,4,11:20,12:00,start,8.09,14.6,30.9,10.68,747,31.012,NA,NA,NA,NA,NA,NA,57,18,20.351,9.823,0.549,312,29,28,56,3.11,2.7,0.1,40,23,17,255,,,
C1,11/14/2019,2,10:20,13:34,C1,C,1,11:20,12:00,start,7.52,14.6,26.4,10.72,772,32.891,NA,NA,NA,NA,NA,NA,46,32,18.367,14.948,1.196,472,17,29,16,2.819,4.02,0.178,0,4,2,NA,,,
C2,11/14/2019,2,10:20,13:34,C2,C,2,11:20,12:00,start,8.1,14.7,26.4,10.74,777,30.96,NA,NA,NA,NA,NA,NA,56,0,24.276,5.83,0.889,312,31,18,27,3.357,1.495,0.135,679,275,799,NA,,,
C3,11/14/2019,2,10:20,13:34,C3,C,3,11:20,12:00,start,8,14.6,30.9,10.95,783,31.841,NA,NA,NA,NA,NA,NA,61,3,26.496,5.285,0.697,398,24,57,33,3.803,1.363,0.115,128,160,22,NA,,,
C4,11/14/2019,2,10:20,13:34,C4,C,4,11:20,12:00,start,8.11,14.7,30.9,11.05,759,31.666,NA,NA,NA,NA,NA,NA,54,4,25.881,5.185,1.152,276,48,41,29,3.559,1.397,0.188,85,239,108,NA,,,
D1,11/14/2019,2,10:20,13:34,D1,D,1,11:20,12:00,start,8.06,14.5,26.4,10.86,767,31.318,NA,NA,NA,NA,NA,NA,49,9,25.535,5.716,1.144,228,16,32,49,3.513,1.457,0.201,1800,877,911,NA,,,"oogonia disc too dense to count, estimate 1800"
D2,11/14/2019,2,10:20,13:34,D2,D,2,11:20,12:00,start,7.49,14.5,26.4,10.85,778,32.981,NA,NA,NA,NA,NA,NA,61,0,28.535,5.246,0.764,296,30,44,41,4.574,1.449,0.131,822,1347,318,NA,,,
D3,11/14/2019,2,10:20,13:34,D3,D,3,11:20,12:00,start,8.13,14.6,30.4,10.8,770,32.297,NA,NA,NA,NA,NA,NA,50,4,26.622,6.45,1.372,364,76,27,43,3.839,1.707,0.221,17,60,28,NA,,,
D4,11/14/2019,2,10:20,13:34,D4,D,4,11:20,12:00,start,8.02,14.7,30.4,10.82,780,28.847,NA,NA,NA,NA,NA,NA,43,2,23.748,5.879,1.217,366,29,21,34,3.526,1.497,0.191,116,123,0,NA,,,
E1,11/14/2019,2,10:20,13:34,E1,E,1,11:20,12:00,start,8.05,14.7,26.6,10.77,737,27.831,NA,NA,NA,NA,NA,NA,51,32,20.034,8.661,1.089,352,30,25,30,2.664,1.909,0.168,23,14,28,NA,,,
E2,11/14/2019,2,10:20,13:34,E2,E,2,11:20,12:00,start,7.6,14.6,26.5,11,740,29.94,NA,NA,NA,NA,NA,NA,49,0,25.202,5.309,1.263,301,22,41,49,3.834,1.491,0.201,21,57,3200,NA,,,"oogonia disc too dense to count, estimate 3200"
E3,11/14/2019,2,10:20,13:34,E3,E,3,11:20,12:00,start,8.12,14.7,30.8,10.68,762,27.803,NA,NA,NA,NA,NA,NA,40,2,24.666,3.376,1.024,304,72,67,24,3.545,0.862,0.166,96,280,1299,NA,,,
E4,11/14/2019,2,10:20,13:34,E4,E,4,11:20,12:00,start,8.05,14.7,30.8,10.67,740,26.791,NA,NA,NA,NA,NA,NA,33,0,22.829,3.022,1.192,274,59,37,29,3.646,0.878,0.205,30,179,50,NA,,,
