"","date","X","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","avg.oog","perc.rdw","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","dissolved.oxygen","daily.min.do","daily.max.do","daily.do.range","daily.med.do","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","min.daily.sal.lt5","min.daily.sal.lt10","min.daily.sal.lt15","max.daily.sal.lt5","max.daily.sal.lt10","max.daily.sal.lt15","daily.sal.range.gt10","daily.sal.range.gt5","min.daily.ph.lt7","min.daily.ph.lt8","max.daily.ph.lt7","daily.ph.range.gt0.5","daily.max.wt.gt20"
"1",2018-06-14,1,49.1,37.6,NA,NA,3,2.76066666666667,1.95177777777778,32.6666666666667,61.6666666666667,30.393887326877,44.8888888888889,35.9894914928424,27.545,23.475,30.71,7.105,27.42,7.59,6.73,8.25,1.31,7.6175,7.835,7.75,7.875,0.100000000000001,7.83,15.43,13.44,16.885,3.26,15.46,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",2018-07-17,2,95,41,12.4,82.6,3,4.7244,1.6321,45.4,79.5,40.1173454652073,62.7777777777778,29.5439408934918,29.7475,26.045,31.4,5.475,29.7375,7.39,6.94,7.76,0.835,7.27,7.84,7.81,7.88,0.0700000000000003,7.83,16.49,15.015,18.125,3.58,16.37,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",2018-08-07,3,114.9,40.7,22.9,92,3,2.3745,1.038,34.1,37.7,39.8030809216384,14.4444444444445,21.7819565021084,30.04,27.18,31.93,4.655,29.99,7.18,6.83,7.55,0.775,7.125,7.885,7.84,7.915,0.0700000000000003,7.88,18.2,16.48,19.285,2.805,18.1475,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",2018-09-11,4,70.2,36.7,5.2,65,2,1.302,0.7757,13.3,22.8,25.8661521894265,9.11111111111111,22.4336871624661,29.4225,27.21,31.68,4.185,29.74,7.18,6.81,7.53,0.58,7.08,7.81,7.79,7.86,0.0750000000000002,7.8175,17.17,15.69,18.3,2.55,17.19,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",2018-10-10,5,39.6,36.4,3,36.6,1,2.4681,2.8906,50.3,35.1,59.2180483118082,50.7777777777778,50.787789538915,29.635,27.795,31.705,3.86,29.555,7.115,6.86,7.44,0.535,7.1075,7.78,7.77,7.81,0.04,7.79,17.365,15.87,18.16,2.25,17.345,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",2018-12-05,6,18.9,27,5.2,13.7,2.5,1.2685,0.8268,26.6,21.8,43.3237831624044,44.7777777777778,32.4183747533188,29.84,27.8675,31.6875,3.92,29.72,7.195,6.9775,7.495,0.56,7.2025,7.82,7.79,7.835,0.04,7.81,15.435,14.8975,16.8025,1.2775,15.94875,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",2019-01-30,7,21.6,28.3,12.1,9.5,3,1.3712,0.5188,11.1,24.4,31.7066224729917,25.2222222222222,22.3551608172246,27.44,24.4125,31.06,6.6175,27.5325,8.38,7.915,8.7275,0.7325,8.4325,7.84,7.81,7.89,0.0700000000000003,7.8575,12.145,11.6,12.7125,0.9875,12.1125,10,10,10,10,10,10,10,10,10,10,10,10,10
"8",2019-02-20,8,18.9,28.9,2.7,16.2,2,2.5303,0.1787,5.8,46.9,16.6411169076892,17,4.75867321259775,20.35,13.345,28.97,15.165,18.375,8.8,8.33,9.46,1.01,9.0275,7.88,7.83,7.92,0.100000000000001,7.87,11.805,11.015,12.55,1.35,11.48,1,4,4,4,4,4,4,4,4,4,4,4,4
"9",2019-03-15,9,16.9,28.3,4.6,12.3,3,2.2784,0.5226,21.9,50.7,25.4320695646647,17,14.9970135803785,8.875,5.565,20.215,15.43,8.805,9.635,8.82,9.95,0.995000000000001,9.63,7.93,7.83,8.04,0.185,7.925,11.36,10.935,11.935,0.890000000000001,11.17,11,24,24,24,24,24,24,24,24,24,24,24,24
"10",2019-04-11,10,23,22.1,7.9,15.1,3,2.0753,0.532,12.4,42.8,16.7804543594634,31.8888888888889,14.7685235421156,13.035,8.17,27.01,18.02,13.97,8.97,8.47,9.275,0.785,8.89,8.015,7.94,8.1,0.145,8.0425,13.8,13.34,14.25,1.06,13.78,2,21,21,21,21,21,21,21,21,21,21,21,21
"11",2019-05-09,11,38.7,35.7,8.9,29.8,2,2.1057,1.2014,30.7,31.5,41.1868141683967,3.44444444444444,27.821886947093,17.47,10.75,28.7625,17.355,17.51,8.5025,7.08,8.94,1.6425,8.39625,8.03,7.95,8.0925,0.1175,8.0325,14.94,12.465,16.1925,3.7,14.99375,1,11,11,11,11,11,11,11,11,11,11,11,11
"12",2019-06-09,12,19.3,21.2,5.2,14.1,3,2.6942,2.9833,64.6,31.3,59.7270538464109,11,45.581258642884,21.135,13.905,29.04,15.195,21.3725,7.905,7.48,8.36,1.21,7.9375,7.92,7.87,7.96,0.0699999999999994,7.92,15.49,14.02,16.905,3.115,15.5,1,2,2,2,2,2,2,2,2,2,2,2,2
"13",2019-07-21,13,20.8,15,2.6,18.2,3,1.6024,2.0675,31.5,13.6,62.1812939888456,25.3333333333333,45.0250637683385,26.15,20.765,30.43,9.94,25.935,7.47,6.935,7.915,0.972500000000001,7.3925,7.83,7.76,7.86,0.13,7.8225,17.06,14.6925,18.6225,3.9425,17.1625,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",2019-08-04,14,19,17.4,2.7,16.3,2,1.8058,1.6752,31.2,16.6,62.9435214882378,14,43.6615832008545,25.985,22.31,28.62,6.425,26.32125,7.87,7.6625,7.6625,7.6625,7.6625,7.52,7.465,7.465,7.465,7.465,17.64,15.5725,15.5725,15.5725,15.5725,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",2019-09-12,15,17.8,17,1.9,15.9,3,NA,NA,NA,NA,NA,NA,NA,27.665,24.36,31.235,6.4,27.9725,7.1,6.665,6.665,6.665,6.665,7.84,7.795,7.795,7.795,7.795,18.715,16.7175,16.7175,16.7175,16.7175,1,1,1,1,1,1,1,1,1,1,1,1,1
